Run   obj.function   <kb>          <kn>          <mlt>         <sn0>         <gw0>         <st0>         <CN1>         <CN2>         <ss1>         <ss2>         <kh>          
84    1.572385E+03  3.960973E-02  5.710901E-01  1.190910E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.446667E+01  4.594342E+00  7.602201E+00  1.167236E+00  
85    1.434351E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  6.857727E+01  4.594342E+00  7.602201E+00  1.011419E+00  
86    1.358451E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.446667E+01  4.594342E+00  7.602201E+00  1.317513E+00  
87    1.639015E+03  3.960973E-02  2.809951E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.446667E+01  3.671353E+00  7.602201E+00  1.011419E+00  
88    1.469585E+04  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  1.116528E+02  5.657662E+00  8.137300E+01  8.446667E+01  3.671353E+00  7.602201E+00  1.011419E+00  
89    2.358256E+03  3.482047E-01  4.647340E-01  1.425077E-01  3.556438E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  3.671353E+00  7.602201E+00  1.131127E+00  
90    1.488810E+03  1.010649E-01  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  3.671353E+00  7.602201E+00  1.131127E+00  
91    1.346193E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  3.671353E+00  8.628187E+00  1.131127E+00  
92    4.599593E+05  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  1.641673E+02  8.137300E+01  8.423528E+01  3.671353E+00  9.284974E-01  1.131127E+00  
93    1.534831E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.186916E+01  8.423528E+01  3.671353E+00  9.284974E-01  1.131127E+00  
94    3.048274E+06  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  4.222323E+02  8.137300E+01  8.423528E+01  7.634960E-01  9.284974E-01  1.131127E+00  
95    1.322198E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  7.634960E-01  9.284974E-01  1.019026E+00  
96    1.319299E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  7.634960E-01  3.796299E+00  1.131127E+00  
97    1.340686E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  9.121597E+01  5.066134E-01  9.284974E-01  1.131127E+00  
98    1.352760E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.700147E+01  8.423528E+01  5.066134E-01  9.284974E-01  1.131127E+00  
99    1.322120E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.303204E+01  5.066134E-01  9.284974E-01  1.131127E+00  
100   1.319483E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  5.066134E-01  9.284974E-01  1.043660E+00  
101   8.692973E+04  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  2.837437E+02  5.657662E+00  8.137300E+01  8.423528E+01  8.907879E-01  9.284974E-01  1.131127E+00  
102   1.317272E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.137300E+01  8.423528E+01  5.066134E-01  9.284974E-01  1.127928E+00  
103   8.705694E+05  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  2.257909E+02  8.137300E+01  8.423528E+01  6.536504E-02  9.284974E-01  1.127928E+00  
104   1.336501E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  7.975907E+01  8.423528E+01  5.066134E-01  9.284974E-01  1.127928E+00  
105   2.510985E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  3.523267E+01  5.657662E+00  8.362995E+01  8.423528E+01  5.066134E-01  9.284974E-01  1.127928E+00  
106   1.319734E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  5.066134E-01  6.240966E+00  1.127928E+00  
107   1.309895E+03  3.960973E-02  4.647340E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  8.941533E-01  9.284974E-01  1.127928E+00  
108   1.690577E+03  3.960973E-02  5.991446E-01  1.425077E-01  1.336514E+00  5.564724E+00  5.657662E+00  8.362995E+01  8.423528E+01  5.066134E-01  9.284974E-01  1.127928E+00  
